Date,Open,High,Low,Close,Volume
2022-05-13,3052.2112618257966,3056.5651299816745,3005.2506611693193,3034.35107421875,2187823
2022-05-16,3034.439858212196,3047.7682909715472,2991.433535282342,3000.496826171875,1195813
2022-05-17,2994.4546623176498,3080.645197108395,2977.0387561429793,3066.96142578125,1754076
2022-05-18,3078.8680530656147,3105.5249193259233,3059.3641559719827,3064.473388671875,1866781
2022-05-19,3018.4456763431513,3025.5541736674804,2870.055794697786,2898.4453125,4642963
2022-05-20,2941.140467379906,2944.605772697741,2905.6424558809776,2926.034912109375,3065125
2022-05-23,2936.5204567843207,2966.820298209671,2902.932761610268,2951.58154296875,2293690
2022-05-24,2945.7171525393956,2954.3363801932683,2910.5746879512376,2921.5927734375,1711510
2022-05-25,2945.611563555611,2945.611563555611,2821.4482956494235,2833.614013671875,3548046
2022-05-26,2854.50145711165,2899.6761119484217,2845.153478156193,2886.660400390625,2813186
2022-05-27,2910.1420170120946,2933.1318451391644,2888.672876025808,2917.387939453125,3103153
2022-05-30,2949.3231893846983,3029.4747349681716,2939.7963456033503,3019.321533203125,2094624
2022-05-31,3000.44672887576,3026.612246033562,2974.3707538356352,3009.5712890625,4840965
2022-06-01,3030.7274370567666,3030.7274370567666,2987.8339209345313,3001.38623046875,1493835
2022-06-02,3001.2071413022886,3070.0873052010297,2993.424621008395,3062.036376953125,2657939
2022-06-03,3094.5979714961795,3110.6105050464353,3069.37177211008,3077.3779296875,1913622
2022-06-06,3057.5633586184927,3088.8725211555457,3021.021005842092,3069.147705078125,1084210
2022-06-07,3042.401450088687,3058.3244425730218,3002.1020331693508,3008.095458984375,2308256
2022-06-08,3023.704687819316,3053.9404374288993,2993.603251373876,3045.173828125,2185707
2022-06-09,3028.043319910622,3074.5597904085103,2999.5073417133417,3065.703857421875,1279197
2022-06-10,3025.359920942585,3035.1999443400923,2998.5234934948394,3005.59033203125,1527582
